Teks,Bab,Pasal,Ayat,Poin,Penjelasan
"Huruf a Bantuan atau sumbangan bagi pihak yang menerima bukan merupakan objek pajak sepanjang diterima tidak dalam rangka hubungan kerja, hubungan usaha, hubungan kepemilikan, atau hubungan penguasaan di antara pihak-pihak yang bersangkutan. Zakat yang diterima oleh badan amil zakat atau lembaga amil zakat yang dibentuk atau disahkan oleh pemerintah dan para penerima zakat yang berhak serta sumbangan keagamaan yang sifatnya wajib bagi pemeluk agama lainnya yang diakui di Indonesia yang diterima oleh lembaga keagamaan yang dibentuk atau disahkan oleh pemerintah dan yang diterima oleh penerima sumbangan yang berhak diperlakukan sama seperti bantuan atau sumbangan. Yang dimaksud dengan “zakat” adalah zakat sebagaimana dimaksud dalam Undang-Undang yang mengatur mengenai zakat. Hubungan usaha antara pihak yang memberi dan yang menerima dapat terjadi, misalnya PT A sebagai produsen suatu jenis barang yang bahan baku utamanya diproduksi oleh PT B. Apabila PT B memberikan sumbangan bahan baku kepada PT A, sumbangan bahan baku yang diterima oleh PT A merupakan objek pajak.TaxBase 6.0 Document - Page : 15Harta hibahan bagi pihak yang menerima bukan merupakan objek pajak apabila diterima oleh keluarga sedarah dalam garis keturunan lurus satu derajat, dan oleh badan keagamaan, badan pendidikan, atau badan sosial termasuk yayasan atau orang pribadi yang menjalankan usaha mikro dan kecil termasuk koperasi yang ditetapkan oleh Menteri Keuangan, sepanjang diterima tidak dalam rangka hubungan kerja, hubungan usaha, hubungan kepemilikan, atau hubungan penguasaan antara pihak-pihak yang bersangkutan. ",II,18,3,u,Bukan
Huruf b Cukup jelas. ,II,18,3,u,Bukan
"Huruf c Pada prinsipnya harta, termasuk setoran tunai, yang diterima oleh badan merupakan tambahan kemampuan ekonomis bagi badan tersebut. Namun karena harta tersebut diterima sebagai pengganti saham atau penyertaan modal, maka berdasarkan ketentuan ini, harta yang diterima tersebut bukan merupakan objek pajak. ",II,18,3,u,Bukan
"Huruf d Daerah tertentu merupakan daerah yang memenuhi kriteria antara lain daerah terpencil, yaitu daerah yang secara ekonomis mempunyai potensi yang layak dikembangkan tetapi keadaan prasarana ekonomi pada umumnya kurang memadai dan sulit dijangkau oleh transportasi umum, baik melalui darat, laut maupun udara, sehingga untuk mengubah potensi ekonomi yang tersedia menjadi kekuatan ekonomi yang nyata, penanam modal menanggung risiko yang cukup tinggi dan masa pengembalian yang relatif panjang, termasuk daerah perairan laut yang mempunyai kedalaman lebih dari 50 (lima puluh) meter yang dasar lautnya memiliki cadangan mineral. ",II,18,3,u,Bukan
"Huruf e Penggantian atau santunan yang diterima oleh orang pribadi dari perusahaan asuransi sehubungan dengan polis asuransi kesehatan, asuransi kecelakaan, asuransi jiwa, asuransi dwiguna, dan asuransi bea siswa, bukan merupakan Objek Pajak. Hal ini selaras dengan ketentuan dalam Pasal 9 ayat (1) huruf d, yaitu bahwa premi asuransi yang dibayar oleh Wajib Pajak orang pribadi untuk kepentingan dirinya tidak boleh dikurangkan dalam penghitungan Penghasilan Kena Pajak. ",II,18,3,u,Bukan
Huruf f Cukup jelas. ,II,18,3,u,Bukan
"Huruf g Pengecualian sebagai Objek Pajak berdasarkan ketentuan ini hanya berlaku bagi dana pensiun yang pendiriannya telah mendapat pengesahan dari Menteri Keuangan. Yang dikecualikan dari Objek Pajak adalah iuran yang diterima dari peserta pensiun, baik atas beban sendiri maupun yang ditanggung pemberi kerja. Pada dasarnya iuran yang diterima oleh dana pensiun tersebut merupakan dana milik dari peserta pensiun, yang akan dibayarkan kembali kepada mereka pada waktunya. Pengenaan pajak atas iuran tersebut berarti mengurangi hak para peserta pensiun, dan oleh karena itu iuran tersebut dikecualikan sebagai Objek Pajak. ",II,18,3,u,Bukan
"Huruf h Sebagaimana tersebut dalam huruf g, pengecualian sebagai Objek Pajak berdasarkan ketentuan ini hanya berlaku bagi dana pensiun yang pendiriannya telah mendapat pengesahan dari Menteri Keuangan. Yang dikecualikan dari Objek Pajak dalam hal ini adalah penghasilan dari modal yang ditanamkan di bidang-bidang tertentu berdasarkan Keputusan Menteri Keuangan. Penanaman modal oleh dana pensiun dimaksudkan untuk pengembangan dan merupakan dana untuk pembayaran kembali kepada peserta pensiun di kemudian hari, sehingga penanaman modal tersebut perlu diarahkan pada bidang-bidang yang tidak bersifat spekulatif atau yang berisiko tinggi. ",II,18,3,u,Bukan
"Huruf i Untuk kepentingan pengenaan pajak, badan-badan sebagaimana disebut dalam ketentuan ini yang merupakan himpunan para anggotanya dikenai pajak sebagai satu kesatuan, yaitu pada tingkat badan tersebut. Oleh karena itu, bagian laba yang diterima oleh para anggota badan tersebut bukan lagi merupakan objek pajak. ",II,18,3,u,Bukan
"Huruf j Cukup jelas .TaxBase 6.0 Document - Page : 16Huruf k Yang dimaksud dengan “perusahaan modal ventura” adalah suatu perusahaan yang kegiatan usahanya membiayai badan usaha (sebagai pasangan usaha) dalam bentuk penyertaan modal untuk suatu jangka waktu tertentu. Berdasarkan ketentuan ini, bagian laba yang diterima atau diperoleh dari perusahaan pasangan usaha tidak termasuk sebagai objek pajak, dengan syarat perusahaan pasangan usaha tersebut merupakan perusahaan mikro, kecil, menengah, atau yang menjalankan usaha atau melakukan kegiatan dalam sektor-sektor tertentu yang ditetapkan oleh Menteri Keuangan, dan saham perusahaan tersebut tidak diperdagangkan di bursa efek di Indonesia. Apabila pasangan usaha perusahaan modal ventura memenuhi ketentuan sebagaimana dimaksud pada ayat (3) huruf f, dividen yang diterima atau diperoleh perusahaan modal ventura bukan merupakan objek pajak. Agar kegiatan perusahaan modal ventura dapat diarahkan kepada sektor-sektor kegiatan ekonomi yang memperoleh prioritas untuk dikembangkan, misalnya untuk meningkatkan ekspor nonmigas, usaha atau kegiatan dari perusahaan pasangan usaha tersebut diatur oleh Menteri Keuangan. Mengingat perusahaan modal ventura merupakan alternatif pembiayaan dalam bentuk penyertaan modal, penyertaan modal yang akan dilakukan oleh perusahaan modal ventura diarahkan pada perusahaan-perusahaan yang belum mempunyai akses ke bursa efek. ",II,18,3,u,Bukan
Huruf l Cukup jelas. ,II,18,3,u,Bukan
"Huruf m Bahwa dalam rangka mendukung usaha peningkatan kualitas sumber daya manusia melalui pendidikan dan/atau penelitian dan pengembangan diperlukan sarana dan prasarana yang memadai. Untuk itu dipandang perlu memberikan fasilitas perpajakan berupa pengecualian pengenaan pajak atas sisa lebih yang diterima atau diperoleh sepanjang sisa lebih tersebut ditanamkan kembali dalam bentuk pembangunan dan pengadaan sarana dan prasarana kegiatan dimaksud. Penanaman kembali sisa lebih dimaksud harus direalisasikan paling lama dalam jangka waktu 4 (empat) tahun sejak sisa lebih tersebut diterima atau diperoleh. Untuk menjamin tercapainya tujuan pemberian fasilitas ini, maka lembaga atau badan yang menyelenggarakan pendidikan harus bersifat nirlaba. Pendidikan serta penelitian dan pengembangan yang diselenggarakan bersifat terbuka kepada siapa saja dan telah mendapat pengesahan dari instansi yang membidanginya. ",II,18,3,u,Bukan
Huruf n Bantuan atau santunan yang diberikan oleh Badan Penyelenggara Jaminan Sosial (BPJS) kepada Wajib Pajak tertentu adalah bantuan sosial yang diberikan khusus kepada Wajib Pajak atau anggota masyarakat yang tidak mampu atau sedang mendapat bencana alam atau tertimpa musibah. ,II,18,3,u,Bukan
Huruf o Cukup jelas. ,II,18,3,u,Bukan
Huruf p Cukup jelas. ,II,18,3,u,Bukan
(1)Yang menjadi Objek Pajak bentuk usaha tetap adalah : ,II,5,1,,Bukan
a.penghasilan dari usaha atau kegiatan bentuk usaha tetap tersebut dan dari harta yang dimiliki atau dikuasai; ,II,5,1,a,Bukan
"b.penghasilan kantor pusat dari usaha atau kegiatan, penjualan barang, atau pemberian jasa di Indonesia yang sejenis dengan yang dijalankan atau yang dilakukan oleh bentuk usaha tetap di Indonesia; ",II,5,1,b,Bukan
"c.penghasilan sebagaimana tersebut dalam Pasal 26 yang diterima atau diperoleh kantor pusat, sepanjang terdapat hubungan efektif antara bentuk usaha tetap dengan harta atau kegiatan yang memberikan penghasilan dimaksud.TaxBase 6.0 Document - Page : 17(2)Biaya-biaya yang berkenaan dengan penghasilan sebagaimana dimaksud pada ayat (1) huruf b dan huruf c boleh dikurangkan dari penghasilan bentuk usaha tetap. ",II,5,1,c,Bukan
(3)Dalam menentukan besarnya laba suatu bentuk usaha tetap : ,II,5,3,,Bukan
"a.biaya administrasi kantor pusat yang diperbolehkan untuk dibebankan adalah biaya yang berkaitan dengan usaha atau kegiatan bentuk usaha tetap, yang besarnya ditetapkan oleh Direktur Jenderal Pajak; ",II,5,3,a,Bukan
"b.pembayaran kepada kantor pusat yang tidak diperbolehkan dibebankan sebagai biaya adalah : 1)royalti atau imbalan lainnya sehubungan penggunaan harta, paten, atau hak-hak lainnya; 2)imbalan sehubungan dengan jasa manajemen dan jasa lainnya; 3)bunga, kecuali bunga yang berkenaan dengan usaha perbankan; ",II,5,3,b,Bukan
"c.pembayaran sebagaimana tersebut pada huruf b yang diterima atau diperoleh dari kantor pusat tidak dianggap sebagai Objek Pajak, kecuali bunga yang berkenaan dengan usaha perbankan. ",II,5,3,c,Bukan
"Orang pribadi yang tidak bertempat tinggal atau badan yang tidak didirikan dan tidak bertempat kedudukan di Indonesia yang menjalankan usaha atau melakukan kegiatan melalui suatu bentuk usaha tetap di Indonesia, dikenakan pajak di Indonesia melalui bentuk usaha tetap tersebut. Ayat (1) ",II,5,3,c,Ya
Huruf a Bentuk usaha tetap dikenakan pajak atas penghasilan yang berasal dari usaha atau kegiatan dan dari harta yang dimiliki atau dikuasainya. Dengan demikian semua penghasilan tersebut dikenakan pajak di Indonesia. ,II,5,3,u,Bukan
"Huruf b Berdasarkan ketentuan ini penghasilan kantor pusat yang berasal dari usaha atau kegiatan, penjualan barang dan pemberian jasa, yang sejenis dengan yang dilakukan oleh bentuk usaha tetap dianggap sebagai penghasilan bentuk usaha tetap, karena pada hakikatnya usaha atau kegiatan tersebut termasuk dalam ruang lingkup usaha atau kegiatan dan dapat dilakukan oleh bentuk usaha tetap. Usaha atau kegiatan yang sejenis dengan usaha atau kegiatan bentuk usaha tetap, misalnya terjadi apabila sebuah bank di luar Indonesia yang mempunyai bentuk usaha tetap di Indonesia, memberikan pinjaman secara langsung tanpa melalui bentuk usaha tetapnya kepada perusahaan di Indonesia. Penjualan barang yang sejenis dengan yang dijual oleh bentuk usaha tetap, misalnya kantor pusat di luar negeri yang mempunyai bentuk usaha tetap di Indonesia menjual produk yang sama dengan produk yang dijual oleh bentuk usaha tetap tersebut secara langsung tanpa melalui bentuk usaha tetapnya kepada pembeli di Indonesia. Pemberian jasa oleh kantor pusat yang sejenis dengan jasa yang diberikan oleh bentuk usaha tetap, misalnya kantor pusat perusahaan konsultan di luar Indonesia memberikan konsultasi yang sama dengan jenis jasa yang dilakukan bentuk usaha tetap tersebut secara langsung tanpa melalui bentuk usaha tetapnya kepada klien di Indonesia. ",II,5,3,u,Bukan
"Huruf c Penghasilan seperti dimaksud dalam Penjelasan Pasal 26 yang diterima atau diperoleh kantor pusat dianggap sebagai penghasilan bentuk usaha tetap di Indonesia, apabila terdapat hubungan efektif antara harta atau kegiatan yang memberikan penghasilan dengan bentuk usaha tetap tersebut. Misalnya, X Inc. menutup perjanjian lisensi dengan PT Y untuk mempergunakan merek dagang X Inc. Atas penggunaan hak tersebut X Inc. menerima imbalan berupa royalti dari PT Y. Sehubungan dengan perjanjian tersebut X Inc. juga memberikan jasa manajemen kepada PT Y melalui suatu bentuk usaha tetap di Indonesia, dalam rangka pemasaran produk PT Y yang mempergunakan merek dagang tersebut. Dalam hal demikian, penggunaan merek dagang oleh PT Y mempunyai hubungan efektif dengan bentuk usaha tetap di Indonesia, dan oleh karena itu penghasilan X Inc. yang berupa royalti tersebut diperlakukan sebagai penghasilan bentuk usaha tetap. Ayat (2)TaxBase 6.0 Document - Page : 18Cukup jelas. Ayat (3) ",II,5,3,u,Bukan
"Huruf a Biaya-biaya administrasi yang dikeluarkan oleh kantor pusat sepanjang digunakan untuk menunjang usaha atau kegiatan bentuk usaha tetap di Indonesia, boleh dikurangkan dari penghasilan bentuk usaha tetap tersebut. Jenis serta besarnya biaya yang boleh dikurangkan tersebut ditetapkan oleh Direktur Jenderal Pajak. ",II,5,3,u,Bukan
"Huruf b dan huruf c Pada dasarnya bentuk usaha tetap merupakan satu kesatuan dengan kantor pusatnya, sehingga pembayaran oleh bentuk usaha tetap kepada kantor pusatnya, seperti royalti atas penggunaan harta kantor pusat, merupakan perputaran dana dalam satu perusahaan. Oleh karena itu, berdasarkan ketentuan ini pembayaran bentuk usaha tetap kepada kantor pusatnya berupa royalti, imbalan jasa, dan bunga tidak boleh dikurangkan dari penghasilan bentuk usaha tetap. Namun apabila kantor pusat dan bentuk usaha tetapnya bergerak dalam bidang usaha perbankan, maka pembayaran berupa bunga pinjaman dapat dibebankan sebagai biaya. Sebagai konsekuensi dari perlakuan tersebut, pembayaran-pembayaran yang sejenis yang diterima oleh bentuk usaha tetap dari kantor pusatnya tidak dianggap sebagai Objek Pajak, kecuali bunga yang diterima oleh bentuk usaha tetap dari kantor pusatnya yang berkenaan dengan usaha perbankan. ",II,5,3,u,Bukan
"(1)Besarnya Penghasilan Kena Pajak bagi Wajib Pajak dalam negeri dan bentuk usaha tetap, ditentukan berdasarkan penghasilan bruto dikurangi biaya untuk mendapatkan, menagih, dan memelihara penghasilan, termasuk: ",II,6,1,,Bukan
"a.biaya yang secara langsung atau tidak langsung berkaitan dengan kegiatan usaha, antara lain: 1.biaya pembelian bahan; 2.biaya berkenaan dengan pekerjaan atau jasa termasuk upah, gaji, honorarium, bonus, gratifikasi, dan tunjangan yang diberikan dalam bentuk uang; 3.bunga, sewa, dan royalti; 4.biaya perjalanan; 5.biaya pengolahan limbah; 6.premi asuransi; 7.biaya promosi dan penjualan yang diatur dengan atau berdasarkan Peraturan Menteri Keuangan; 8.biaya administrasi; dan 9.pajak kecuali Pajak Penghasilan; ",II,6,1,a,Bukan
b.penyusutan atas pengeluaran untuk memperoleh harta berwujud dan amortisasi atas pengeluaran untuk memperoleh hak dan atas biaya lain yang mempunyai masa manfaat lebih dari 1 (satu) tahun sebagaimana dimaksud dalam Pasal 11 dan Pasal 11A; ,II,6,1,b,Bukan
c.iuran kepada dana pensiun yang pendiriannya telah disahkan oleh Otoritas Jasa Keuangan; ,II,6,1,c,Bukan
"d.kerugian karena penjualan atau pengalihan harta yang dimiliki dan digunakan dalam perusahaan atau yang dimiliki untuk mendapatkan, menagih, dan memelihara penghasilan; ",II,6,1,d,Bukan
e.kerugian selisih kurs mata uang asing; ,II,6,1,e,Bukan
f.biaya penelitian dan pengembangan perusahaan yang dilakukan di Indonesia; ,II,6,1,f,Bukan
"g.biaya beasiswa, magang, dan pelatihan; ",II,6,1,g,Bukan
h.piutang yang nyata-nyata tidak dapat ditagih dengan syarat : 1.telah dibebankan sebagai biaya dalam laporan laba rugi komersial; 2.Wajib Pajak harus menyerahkan daftar piutang yang tidak dapat ditagih kepada Direktorat Jenderal Pajak; dan 3.telah diserahkan perkara penagihannya kepada Pengadilan Negeri atau instansi pemerintah yang menangani piutang negara; atau adanya perjanjian tertulis mengenai penghapusan piutang/pembebasan utang antara kreditur dan debitur yang bersangkutan; atau telah dipublikasikan dalam penerbitan umum atau khusus; atau adanya pengakuan dari debitur bahwa utangnya telah dihapuskan untuk jumlah utang tertentu;TaxBase 6.0 Document - Page : 194.syarat sebagaimana dimaksud pada angka 3 tidak berlaku untuk penghapusan piutang tak tertagih debitur kecil sebagaimana dimaksud dalam Pasal 4 ayat (1) huruf k; yang pelaksanaannya diatur lebih lanjut dengan atau berdasarkan Peraturan Menteri Keuangan; ,II,6,1,h,Bukan
i.sumbangan dalam rangka penanggulangan bencana nasional yang ketentuannya diatur dengan Peraturan Pemerintah; ,II,6,1,i,Bukan
j.sumbangan dalam rangka penelitian dan pengembangan yang dilakukan di Indonesia yang ketentuannya diatur dengan Peraturan Pemerintah; ,II,6,1,j,Bukan
k.biaya pembangunan infrastruktur sosial yang ketentuannya diatur dengan Peraturan Pemerintah; lsumbangan fasilitas pendidikan yang ketentuannya diatur dengan Peraturan Pemerintah; dan ,II,6,1,k,Bukan
m.sumbangan dalam rangka pembinaan olahraga yang ketentuannya diatur dengan Peraturan Pemerintah. ,II,6,1,m,Bukan
n.biaya penggantian atau imbalan yang diberikan dalam bentuk natura dan/atau kenikmatan. ,II,6,1,n,Bukan
"(2)Apabila penghasilan bruto setelah pengurangan sebagaimana dimaksud pada ayat (1) didapat kerugian, kerugian tersebut dikompensasikan dengan penghasilan mulai tahun pajak berikutnya berturut-turut sampai dengan 5 (lima) tahun. ",II,6,2,,Bukan
(3)Kepada orang pribadi sebagai Wajib Pajak dalam negeri diberikan pengurangan berupa Penghasilan Tidak Kena Pajak sebagaimana dimaksud dalam Pasal 7. ,II,6,3,,Bukan
"Ayat (1) Beban-beban yang dapat dikurangkan dari penghasilan bruto dapat dibagi dalam 2 (dua) golongan, yaitu beban atau biaya yang mempunyai masa manfaat tidak lebih dari 1 (satu) tahun dan yang mempunyai masa manfaat lebih dari 1 (satu) tahun. Beban yang mempunyai masa manfaat tidak lebih dari 1 (satu) tahun merupakan biaya pada tahun yang bersangkutan, misalnya gaji, biaya administrasi dan bunga, biaya rutin pengolahan limbah dan sebagainya, sedangkan pengeluaran yang mempunyai masa manfaat lebih dari 1 (satu) tahun, pembebanannya dilakukan melalui penyusutan atau melalui amortisasi. Di samping itu, apabila dalam suatu tahun pajak didapat kerugian karena penjualan harta atau karena selisih kurs, kerugian-kerugian tersebut dapat dikurangkan dari penghasilan bruto . ",II,6,3,,Ya
"Huruf a Biaya-biaya yang dimaksud pada ayat ini lazim disebut biaya sehari-hari yang boleh dibebankan pada tahun pengeluaran. Untuk dapat dibebankan sebagai biaya, pengeluaran-pengeluaran tersebut harus mempunyai hubungan langsung maupun tidak langsung dengan kegiatan usaha atau kegiatan untuk mendapatkan, menagih, dan memelihara penghasilan yang merupakan objek pajak. Dengan demikian, pengeluaran untuk mendapatkan, menagih, dan memelihara penghasilan yang bukan merupakan objek pajak tidak boleh dibebankan sebagai biaya. Contoh: Dana Pensiun A yang pendiriannya telah mendapat pengesahan dari Menteri Keuangan memperoleh penghasilan bruto yang terdiri dari : ",II,6,3,u,Bukan
"a.penghasilan yang bukan merupakan objek pajak sesuai dengan Pasal 4 ayat (3) huruf hRp 100.000.000,00 ",II,6,3,a,Bukan
"b.penghasilan bruto lainnya sebesar Rp 300.000.000,00  (+) Jumlah penghasilan bruto Rp 400.000.000,00 Apabila seluruh biaya adalah sebesar Rp200.000.000,00 (dua ratus juta rupiah), biaya yang boleh dikurangkan untuk mendapatkan, menagih dan memelihara penghasilan adalah sebesar 3/4 x Rp200.000.000,00 = Rp150.000.000,00 . Demikian pula bunga atas pinjaman yang dipergunakan untuk membeli saham tidak dapat dibebankan sebagai biaya sepanjang dividen yang diterimanya tidak merupakan objek pajak sebagaimana dimaksud dalam Pasal 4 ayat (3) huruf f. Bunga pinjaman yang tidak boleh dibiayakan tersebut dapat dikapitalisasi sebagai penambah harga perolehan saham. Pengeluaran yang tidak ada hubungannya dengan upaya untuk mendapatkan, menagih, dan memelihara penghasilan, misalnya pengeluaran-pengeluaran untuk keperluan pribadi pemegangTaxBase 6.0 Document - Page : 20saham, pembayaran bunga atas pinjaman yang dipergunakan untuk keperluan pribadi peminjam serta pembayaran premi asuransi untuk kepentingan pribadi, tidak boleh dibebankan sebagai biaya. Pembayaran premi asuransi oleh pemberi kerja untuk kepentingan pegawainya boleh dibebankan sebagai biaya perusahaan, tetapi bagi pegawai yang bersangkutan premi tersebut merupakan penghasilan. Pengeluaran-pengeluaran yang dapat dikurangkan dari penghasilan bruto harus dilakukan dalam batas-batas yang wajar sesuai dengan adat kebiasaan pedagang yang baik. Dengan demikian, apabila pengeluaran yang melampaui batas kewajaran tersebut dipengaruhi oleh hubungan istimewa, jumlah yang melampaui batas kewajaran tersebut tidak boleh dikurangkan dari penghasilan bruto. Selanjutnya lihat ketentuan dalam Pasal 9 ayat (1) huruf f dan Pasal 18 beserta penjelasannya. Pajak yang menjadi beban perusahaan dalam rangka usahanya selain Pajak Penghasilan, misalnya Pajak Bumi dan Bangunan (PBB), Bea Meterai (BM), Pajak Hotel, dan Pajak Restoran, dapat dibebankan sebagai biaya. Mengenai pengeluaran untuk promosi perlu dibedakan antara biaya yang benar-benar dikeluarkan untuk promosi dan biaya yang pada hakikatnya merupakan sumbangan. Biaya yang benar-benar dikeluarkan untuk promosi boleh dikurangkan dari penghasilan bruto. ",II,6,3,b,Bukan
"Huruf b Pengeluaran-pengeluaran untuk memperoleh harta berwujud dan harta tak berwujud serta pengeluaran lain yang mempunyai masa manfaat lebih dari 1 (satu) tahun, pembebanannya dilakukan melalui penyusutan atau amortisasi. Selanjutnya lihat ketentuan Pasal 9 ayat (2), Pasal 11, dan Pasal 11A beserta penjelasannya. Pengeluaran yang menurut sifatnya merupakan pembayaran di muka, misalnya sewa untuk beberapa tahun yang dibayar sekaligus, pembebanannya dapat dilakukan melalui alokasi . ",II,6,3,u,Bukan
"Huruf c Iuran kepada dana pensiun yang pendiriannya telah disahkan oleh Otoritas Jasa Keuangan boleh dibebankan sebagai biaya, sedangkan iuran yang dibayarkan kepada dana pensiun yang pendiriannya tidak atau belum disahkan oleh Otoritas Jasa Keuangan tidak boleh dibebankan sebagai biaya. ",II,6,3,u,Bukan
"Huruf d Kerugian karena penjualan atau pengalihan harta yang menurut tujuan semula tidak dimaksudkan untuk dijual atau dialihkan yang dimiliki dan dipergunakan dalam perusahaan atau yang dimiliki untuk mendapatkan, menagih dan memelihara penghasilan dapat dikurangkan dari penghasilan bruto. Kerugian karena penjualan atau pengalihan harta yang dimiliki tetapi tidak digunakan dalam perusahaan, atau yang dimiliki tetapi tidak digunakan untuk mendapatkan, menagih dan memelihara penghasilan, tidak boleh dikurangkan dari penghasilan bruto . ",II,6,3,u,Bukan
Huruf e Kerugian karena fluktuasi kurs mata uang asing diakui berdasarkan sistem pembukuan yang dianut dan dilakukan secara taat asas sesuai dengan Standar Akuntansi Keuangan yang berlaku di Indonesia . ,II,6,3,u,Bukan
Huruf f Biaya penelitian dan pengembangan perusahaan yang dilakukan di Indonesia dalam jumlah yang wajar untuk menemukan teknologi atau sistem baru bagi pengembangan perusahaan boleh dibebankan sebagai biaya perusahaan. ,II,6,3,u,Bukan
"Huruf g Biaya yang dikeluarkan untuk keperluan beasiswa, magang, dan pelatihan dalam rangka peningkatan kualitas sumber daya manusia dapat dibebankan sebagai biaya perusahaan dengan memperhatikan kewajaran, termasuk beasiswa yang dapat dibebankan sebagai biaya adalah beasiswa yang diberikan kepada pelajar, mahasiswa, dan pihak lain. ",II,6,3,u,Bukan
"Huruf hTaxBase 6.0 Document - Page : 21Piutang yang nyata-nyata tidak dapat ditagih dapat dibebankan sebagai biaya sepanjang Wajib Pajak telah mengakuinya sebagai biaya dalam laporan laba-rugi komersial dan telah melakukan upaya-upaya penagihan yang maksimal atau terakhir. Yang dimaksud dengan penerbitan tidak hanya berarti penerbitan berskala nasional, melainkan juga penerbitan internal asosiasi dan sejenisnya . Tata cara pelaksanaan persyaratan yang ditentukan dalam ayat (1) huruf h ini diatur lebih lanjut dengan atau berdasarkan Peraturan Menteri Keuangan . ",II,6,3,u,Bukan
Huruf i Cukup jelas. ,II,6,3,u,Bukan
Huruf j Cukup jelas. ,II,6,3,u,Bukan
"Huruf k Yang dimaksud dengan ""biaya pembangunan infrastruktur sosial"" adalah biaya yang dikeluarkan untuk keperluan membangun sarana dan prasarana untuk kepentingan umum dan bersifat nirlaba. Contoh dari infrastruktur sosial antara lain rumah ibadah, sanggar seni budaya, dan poliklinik. ",II,6,3,u,Bukan
Huruf l Cukup jelas. ,II,6,3,u,Bukan
Huruf m Cukup jelas. ,II,6,3,u,Bukan
"Huruf n Cukup jelas. Ayat (2) Jika pengeluaran-pengeluaran yang diperkenankan berdasarkan ketentuan pada ayat (1) setelah dikurangkan dari penghasilan bruto didapat kerugian, kerugian tersebut dikompensasikan dengan penghasilan neto atau laba fiskal selama 5 (lima) tahun berturut-turut dimulai sejak tahun berikutnya sesudah tahun didapatnya kerugian tersebut. Contoh: PT A dalam tahun 2009 menderita kerugian fiskal sebesar Rp1.200.000.000,00 (satu miliar dua ratus juta rupiah). Dalam 5 (lima) tahun berikutnya laba rugi fiskal PT A sebagai berikut : 2010 : laba fiskal Rp200.000.000,00 2011 : rugi fiskal (Rp300.000.000,00) 2012 : laba fiskal Rp N I H I L 2013 : laba fiskal Rp100.000.000,00 2014 : laba fiskal Rp800.000.000,00 Kompensasi kerugian dilakukan sebagai berikut : Rugi fiskal tahun 2009 (Rp1.200.000.000,00) Laba fiskal tahun 2010 Rp   200.000.000,00   (+) Sisa rugi fiskal tahun 2009 (Rp1.000.000.000,00) Rugi fiskal tahun 2011 (Rp   300.000.000,00) Sisa rugi fiskal tahun 2009 (Rp1.000.000.000,00) Laba fiskal tahun 2012 Rp        N I H I L       (+) Sisa rugi fiskal tahun 2009 (Rp1.000.000.000,00) Laba fiskal tahun 2013 Rp   100.000.000,00   (+) Sisa rugi fiskal tahun 2009 (Rp   900.000.000,00) Laba fiskal tahun 2014 Rp   800.000.000,00   (+) Sisa rugi fiskal tahun 2009 (Rp   100.000.000,00)TaxBase 6.0 Document - Page : 22Rugi fiskal tahun 2009 sebesar Rp100.000.000,00 (seratus juta rupiah) yang masih tersisa pada akhir tahun 2014 tidak boleh dikompensasikan lagi dengan laba fiskal tahun 2015, sedangkan rugi fiskal tahun 2011 sebesar Rp300.000.000,00 (tiga ratus juta rupiah) hanya boleh dikompensasikan dengan laba fiskal tahun 2015 dan tahun 2016, karena jangka waktu lima tahun yang dimulai sejak tahun 2012 berakhir pada akhir tahun 2016. Ayat (3) Dalam menghitung Penghasilan Kena Pajak Wajib Pajak orang pribadi dalam negeri, kepadanya diberikan pengurangan berupa Penghasilan Tidak Kena Pajak (PTKP) berdasarkan ketentuan sebagaimana dimaksud dalam Pasal 7. ",II,6,3,u,Bukan
(1) Penghasilan Tidak Kena Pajak per tahun diberikan paling sedikit sebesar : ,II,7,1,,Bukan
"a.Rp54.000.000,00 (lima puluh empat juta rupiah) untuk diri Wajib Pajak orang pribadi; ",II,7,1,a,Bukan
"b.Rp4.500.000,00 (empat juta lima ratus ribu rupiah) tambahan untuk Wajib Pajak yang kawin; ",II,7,1,b,Bukan
"c.Rp54.000.000,00 (lima puluh empat juta rupiah) tambahan untuk seorang isteri yang penghasilannya digabung dengan penghasilan suami sebagaimana dimaksud dalam Pasal 8 ayat ",II,7,1,c,Bukan
(1); dan ,II,7,1,,Bukan
"d.Rp4.500.000,00 (empat juta lima ratus ribu rupiah) tambahan untuk setiap anggota keluarga sedarah dan keluarga semenda dalam garis keturunan lurus serta anak angkat, yang menjadi tanggungan sepenuhnya, paling banyak 3 (tiga) orang untuk setiap keluarga. ",II,7,1,d,Bukan
(2) Penerapan ketentuan sebagaimana dimaksud pada ayat (1) ditentukan oleh keadaan pada awal tahun pajak atau awal bagian tahun pajak. ,II,7,2,,Bukan
(2a) Wajib Pajak orang pribadi yang memiliki peredaran bruto tertentu sebagaimana dimaksud dalam ,II,7,2a,,Bukan
"Rp500.000.000,00 (lima ratus juta rupiah) dalam 1 (satu) tahun pajak. ",II,4,2a,,Bukan
(3) Penyesuaian besarnya: ,II,4,3,,Bukan
a. Penghasilan Tidak Kena Pajak sebagaimana dimaksud pada ayat (1); dan ,II,4,3,a,Bukan
